Date,Open,High,Low,Close,Adj Close,Volume,Day,Month,Year,Quarter
15-03-2024,166,168.699997,153.600006,161,161,108719847,15,3,2024,Q1
14-03-2024,161.25,171.399994,160.600006,170.350006,170.350006,25912125,14,3,2024,Q1
13-03-2024,173,173.899994,161.75,163.350006,163.350006,26725350,13,3,2024,Q1
12-03-2024,175,175.899994,171.449997,172.899994,172.899994,20208400,12,3,2024,Q1
11-03-2024,173.949997,177.5,172.100006,174.25,174.25,22843402,11,3,2024,Q1
07-03-2024,177.350006,178.350006,174,174.600006,174.600006,17880714,7,3,2024,Q1
06-03-2024,176.199997,178.199997,172.100006,177.350006,177.350006,37730619,6,3,2024,Q1
05-03-2024,176.449997,177.300003,174.550003,175.850006,175.850006,21719198,5,3,2024,Q1
04-03-2024,172.199997,176.449997,170.5,175.25,175.25,28643745,4,3,2024,Q1
01-03-2024,167.949997,171.800003,167.399994,169.399994,169.399994,33401242,1,3,2024,Q1
29-02-2024,167.399994,168.449997,164.350006,165.550003,165.550003,52797150,29,2,2024,Q1
28-02-2024,172.5,173.449997,166.699997,167.399994,167.399994,35971734,28,2,2024,Q1
27-02-2024,177.5,178.350006,172.100006,173.25,173.25,27603342,27,2,2024,Q1
26-02-2024,175.899994,178.800003,172.550003,177.5,177.5,36264939,26,2,2024,Q1
23-02-2024,179.699997,180.699997,175.050003,175.850006,175.850006,31342100,23,2,2024,Q1
22-02-2024,181.5,181.5,175.399994,179.699997,179.699997,39618423,22,2,2024,Q1
21-02-2024,189.600006,190.699997,181.100006,182.300003,182.300003,22131487,21,2,2024,Q1
20-02-2024,187.5,189.699997,183.800003,188.75,188.75,34936800,20,2,2024,Q1
19-02-2024,188.600006,190.899994,186.399994,188.5,188.5,30664067,19,2,2024,Q1
16-02-2024,190,194.100006,186.149994,187,187,54056644,16,2,2024,Q1
15-02-2024,185,191.350006,183.5,189.850006,189.850006,70678699,15,2,2024,Q1
14-02-2024,173,184.350006,170.899994,183.550003,183.550003,52764452,14,2,2024,Q1
13-02-2024,174.949997,177.449997,172.350006,174.449997,174.449997,37121416,13,2,2024,Q1
12-02-2024,182.5,184.350006,173.149994,175.399994,175.399994,54071070,12,2,2024,Q1
09-02-2024,193.399994,193.850006,177.75,182.5,182.5,84137345,9,2,2024,Q1
08-02-2024,187.899994,196.800003,186.75,192.399994,192.399994,83103687,8,2,2024,Q1
07-02-2024,188.199997,192.649994,185.050003,186.449997,186.449997,82890137,7,2,2024,Q1
06-02-2024,176.550003,186,171.350006,184.5,184.5,97077698,6,2,2024,Q1
05-02-2024,167.949997,177.199997,164.699997,173.949997,173.949997,101043319,5,2,2024,Q1
02-02-2024,151.899994,166.800003,151.050003,162.899994,162.899994,94675914,2,2,2024,Q1
01-02-2024,148.5,150.699997,147.050003,149.75,149.75,27883335,1,2,2024,Q1
31-01-2024,147.800003,150.100006,146.100006,146.949997,146.949997,27393172,31,1,2024,Q1
30-01-2024,148.399994,152.199997,146.5,147.699997,147.699997,41378967,30,1,2024,Q1
29-01-2024,143.699997,148.399994,143.5,146.699997,146.699997,28420760,29,1,2024,Q1
25-01-2024,145.899994,145.899994,142,143.699997,143.699997,38252600,25,1,2024,Q1
24-01-2024,138.949997,145.25,138.050003,143.449997,143.449997,40122151,24,1,2024,Q1
23-01-2024,151.5,151.800003,137.850006,138.949997,138.949997,38167576,23,1,2024,Q1
19-01-2024,145.100006,149.300003,143.800003,148.649994,148.649994,23970656,19,1,2024,Q1
18-01-2024,143.800003,145.649994,139.899994,144.5,144.5,26958686,18,1,2024,Q1
17-01-2024,143,145.399994,141.550003,144.100006,144.100006,43031636,17,1,2024,Q1
16-01-2024,138.25,144.350006,137.5,143.600006,143.600006,54350562,16,1,2024,Q1
15-01-2024,136.449997,138,135.199997,137.649994,137.649994,22824583,15,1,2024,Q1
12-01-2024,133.449997,135.850006,132.75,135.300003,135.300003,24471509,12,1,2024,Q1
11-01-2024,131.350006,133.899994,131.100006,133.25,133.25,21653666,11,1,2024,Q1
10-01-2024,130.949997,131,128.5,130.550003,130.550003,17547639,10,1,2024,Q1
09-01-2024,134.899994,134.899994,131.550003,131.899994,131.899994,15051378,9,1,2024,Q1
